step,loss,logits_loss,aux_loss,lr
43800,1.6699,1.6699,0.0,2.09e-06
43900,1.45,1.45,0.0,2.07e-06
44000,1.8866,1.8866,0.0,2.06e-06
44100,1.4355,1.4355,0.0,2.04e-06
44200,1.5878,1.5878,0.0,2.03e-06
44300,1.6759,1.6759,0.0,2.01e-06
44400,1.5215,1.5215,0.0,1.99e-06
44500,1.4824,1.4824,0.0,1.98e-06
44600,1.6765,1.6765,0.0,1.96e-06
44700,1.5452,1.5452,0.0,1.95e-06
44800,1.4278,1.4278,0.0,1.93e-06
44900,1.3703,1.3703,0.0,1.92e-06
45000,1.3618,1.3618,0.0,1.9e-06
45100,1.3864,1.3864,0.0,1.89e-06
45200,1.6565,1.6565,0.0,1.87e-06
45300,1.3496,1.3496,0.0,1.86e-06
45400,1.6399,1.6399,0.0,1.84e-06
45500,1.56,1.56,0.0,1.83e-06
45600,1.7511,1.7511,0.0,1.81e-06
45700,1.7519,1.7519,0.0,1.8e-06
45800,1.5708,1.5708,0.0,1.79e-06
45900,1.3402,1.3402,0.0,1.77e-06
46000,1.6153,1.6153,0.0,1.76e-06
46100,1.5889,1.5889,0.0,1.74e-06
46200,1.5211,1.5211,0.0,1.73e-06
46300,1.6383,1.6383,0.0,1.72e-06
46400,1.492,1.492,0.0,1.7e-06
46500,1.3221,1.3221,0.0,1.69e-06
46600,1.5834,1.5834,0.0,1.68e-06
46700,1.5511,1.5511,0.0,1.66e-06
46800,1.4616,1.4616,0.0,1.65e-06
46900,1.6246,1.6246,0.0,1.64e-06
47000,1.6226,1.6226,0.0,1.62e-06
47100,1.7724,1.7724,0.0,1.61e-06
47200,1.452,1.452,0.0,1.6e-06
47300,1.5795,1.5795,0.0,1.59e-06
47400,1.6986,1.6986,0.0,1.57e-06
47500,1.6468,1.6468,0.0,1.56e-06
47600,1.4008,1.4008,0.0,1.55e-06
47700,1.462,1.462,0.0,1.54e-06
47800,1.4539,1.4539,0.0,1.53e-06
47900,1.4672,1.4672,0.0,1.52e-06
48000,1.6001,1.6001,0.0,1.5e-06
48100,1.4976,1.4976,0.0,1.49e-06
48200,1.6785,1.6785,0.0,1.48e-06
48300,1.5074,1.5074,0.0,1.47e-06
48400,1.5883,1.5883,0.0,1.46e-06
48500,1.3342,1.3342,0.0,1.45e-06
48600,1.4207,1.4207,0.0,1.44e-06
48700,1.2895,1.2895,0.0,1.43e-06
48800,1.5617,1.5617,0.0,1.42e-06
48900,1.4476,1.4476,0.0,1.41e-06
49000,1.4805,1.4805,0.0,1.4e-06
49100,1.7018,1.7018,0.0,1.39e-06
49200,1.568,1.568,0.0,1.37e-06
49300,1.5698,1.5698,0.0,1.37e-06
49400,1.6099,1.6099,0.0,1.36e-06
49500,1.5438,1.5438,0.0,1.35e-06
49600,1.697,1.697,0.0,1.34e-06
49700,1.4617,1.4617,0.0,1.33e-06
49800,1.6255,1.6255,0.0,1.32e-06
49900,1.4593,1.4593,0.0,1.31e-06
50000,1.492,1.492,0.0,1.3e-06
50100,1.5614,1.5614,0.0,1.29e-06
50200,1.5613,1.5613,0.0,1.28e-06
50300,1.3304,1.3304,0.0,1.27e-06
50400,1.6251,1.6251,0.0,1.26e-06
50500,1.5615,1.5615,0.0,1.26e-06
50600,1.4304,1.4304,0.0,1.25e-06
50700,1.6372,1.6372,0.0,1.24e-06
50800,1.506,1.506,0.0,1.23e-06
50900,1.5026,1.5026,0.0,1.22e-06
51000,1.4521,1.4521,0.0,1.22e-06
51100,1.6458,1.6458,0.0,1.21e-06
51200,1.5192,1.5192,0.0,1.2e-06
51300,1.4795,1.4795,0.0,1.19e-06
51400,1.5872,1.5872,0.0,1.19e-06
51500,1.4488,1.4488,0.0,1.18e-06
51600,1.317,1.317,0.0,1.17e-06
51700,1.3691,1.3691,0.0,1.17e-06
51800,1.5276,1.5276,0.0,1.16e-06
51900,1.5923,1.5923,0.0,1.15e-06
52000,1.5283,1.5283,0.0,1.15e-06
52100,1.338,1.338,0.0,1.14e-06
52200,1.452,1.452,0.0,1.13e-06
52300,1.6162,1.6162,0.0,1.13e-06
52400,1.5052,1.5052,0.0,1.12e-06
52500,1.5115,1.5115,0.0,1.12e-06
52600,1.3699,1.3699,0.0,1.11e-06
52700,1.6047,1.6047,0.0,1.11e-06
52800,1.7081,1.7081,0.0,1.1e-06
52900,1.6356,1.6356,0.0,1.09e-06
53000,1.7103,1.7103,0.0,1.09e-06
53100,1.5189,1.5189,0.0,1.09e-06
53200,1.6424,1.6424,0.0,1.08e-06
53300,1.56,1.56,0.0,1.08e-06
53400,1.4548,1.4548,0.0,1.07e-06
53500,1.5314,1.5314,0.0,1.07e-06
53600,1.5339,1.5339,0.0,1.06e-06
53700,1.482,1.482,0.0,1.06e-06
53800,1.379,1.379,0.0,1.05e-06
53900,1.459,1.459,0.0,1.05e-06
54000,1.5616,1.5616,0.0,1.05e-06
54100,1.4445,1.4445,0.0,1.04e-06
54200,1.6281,1.6281,0.0,1.04e-06
54300,1.4695,1.4695,0.0,1.04e-06
54400,1.5155,1.5155,0.0,1.03e-06
54500,1.4779,1.4779,0.0,1.03e-06
54600,1.4487,1.4487,0.0,1.03e-06
54700,1.4062,1.4062,0.0,1.03e-06
54800,1.7568,1.7568,0.0,1.02e-06
54900,1.5296,1.5296,0.0,1.02e-06
